startTime,endTime,spawningIntervalInMinutes,spawningAmount,source,destination
7:00,7:00,0,0,"POINT(9.98333 53.47660)", "POINT(9.983267 53.436046)"
7:00,18:00,20,1,"POLYGON((9.961735474985622 53.467498423122436,10.004822480600856 53.467498423122436,10.004822480600856 53.46453491526656,9.961735474985622 53.46453491526656,9.961735474985622 53.467498423122436))","POLYGON((9.96225045911648 53.45267881483326,10.006024110239528 53.45267881483326,10.006024110239528 53.44950981361296,9.96225045911648 53.44950981361296,9.96225045911648 53.45267881483326))"
